abs_ssc,name,state,area
10533,Bowmans Creek,New South Wales,68.23
10534,Bowna,New South Wales,116.82
10535,Bowning,New South Wales,292.68
10536,Bowral,New South Wales,37.18
10537,Bowraville,New South Wales,27.78
10538,Box Head,New South Wales,1.96
10539,Box Hill (NSW),New South Wales,14.08
10540,Box Ridge,New South Wales,290.02
10541,Boxers Creek,New South Wales,78.82
10542,Boydtown,New South Wales,9.35
10543,Bradbury (NSW),New South Wales,3.73
10544,Braefield,New South Wales,20.39
10545,Braemar,New South Wales,2.29
10546,Braemar Bay,New South Wales,67.84
10547,Braidwood,New South Wales,234.62
10548,Brandy Hill,New South Wales,5.39
10549,Branxton,New South Wales,33.33
10550,Braunstone,New South Wales,48.73
10551,Brawboy,New South Wales,61.22
10552,Bray Park (NSW),New South Wales,0.97
10553,Brays Creek,New South Wales,16.45
10554,Brayton,New South Wales,91.60
10555,Breadalbane (NSW),New South Wales,141.57
10556,Breakfast Creek,New South Wales,37.17
10557,Breakfast Point,New South Wales,0.52
10558,Bream Beach,New South Wales,0.54
10559,Bredbo,New South Wales,246.45
10560,Breelong,New South Wales,262.90
10561,Breeza,New South Wales,314.24
10562,Bretti,New South Wales,74.06
10563,Brewarrina,New South Wales,3983.10
10564,Brewongle,New South Wales,43.79
10565,Briarbrook,New South Wales,100.08
10566,Bribbaree,New South Wales,301.45
10567,Bridgman,New South Wales,69.97
10568,Brierfield,New South Wales,52.06
10569,Brighton-le-Sands,New South Wales,1.57
10570,Brightwaters,New South Wales,1.69
10571,Bril Bril,New South Wales,46.52
10572,Brimbin,New South Wales,27.79
10573,Brindabella,New South Wales,510.47
10574,Brinerville,New South Wales,238.47
10575,Bringelly,New South Wales,40.21
10576,Bringenbrong,New South Wales,79.58
10577,Brisbane Grove,New South Wales,16.72
10578,Broadmeadow,New South Wales,2.69
10579,Broadwater (Bega Valley - NSW),New South Wales,5.31
10580,Broadwater (Richmond Valley - NSW),New South Wales,57.76
10581,Broadway,New South Wales,106.38
10582,Brobenah,New South Wales,98.24
10583,Brocklehurst,New South Wales,81.68
10584,Brocklesby,New South Wales,198.99
10585,Brockley,New South Wales,74.32
10586,Brodies Plains,New South Wales,31.49
10587,Brogans Creek,New South Wales,49.67
10588,Brogers Creek,New South Wales,10.70
10589,Brogo,New South Wales,395.80
10590,Broke (NSW),New South Wales,179.65
10591,Broken Head,New South Wales,26.10
10592,Broken Hill,New South Wales,13040.19
10593,Brombin,New South Wales,11.87
10594,Bronte,New South Wales,1.33
10595,Brookdale (NSW),New South Wales,149.56
10596,Brookfield (NSW),New South Wales,37.57
10597,Brooklana,New South Wales,89.80
10598,Brooklet,New South Wales,13.10
10599,Brooklyn (NSW),New South Wales,32.14
10600,Brookong,New South Wales,181.88
10601,Brookvale,New South Wales,2.20
10602,Brooman,New South Wales,87.89
10603,Brooms Head,New South Wales,58.92
10604,Broughams Gate,New South Wales,6834.16
10605,Broughton (NSW),New South Wales,6.98
10606,Broughton Vale,New South Wales,18.55
10607,Broughton Village,New South Wales,9.56
10608,Broulee,New South Wales,18.03
10609,Brownlow Hill,New South Wales,9.81
10610,Browns Creek,New South Wales,55.51
10611,Browns Mountain,New South Wales,12.55
10612,Brownsville,New South Wales,0.97
10613,Brucedale,New South Wales,49.20
10614,Bruie Plains,New South Wales,216.61
10615,Bruinbun,New South Wales,154.68
10616,Brumby Plains,New South Wales,40.71
10617,Brundee,New South Wales,8.42
10618,Brungle,New South Wales,30.88
10619,Brungle Creek,New South Wales,59.97
10620,Brunkerville,New South Wales,14.36
10621,Brunswick Heads,New South Wales,14.29
10622,Brushgrove,New South Wales,2.63
10623,Brushy Creek,New South Wales,90.18
10624,Buangla,New South Wales,34.66
10625,Bucca (NSW),New South Wales,84.29
10626,Bucca Wauka,New South Wales,44.27
10627,Buccarumbi,New South Wales,297.51
10628,Buchanan (NSW),New South Wales,30.54
10629,Buckajo,New South Wales,74.69
10630,Buckaroo,New South Wales,34.16
10631,Buckenbowra,New South Wales,268.33
10632,Buckenderra,New South Wales,84.25
10633,Buckendoon,New South Wales,12.77
10634,Bucketty,New South Wales,21.18
10635,Buckra Bendinni,New South Wales,95.66
10636,Budawang,New South Wales,198.79
10637,Buddabadah,New South Wales,827.50
10638,Budden,New South Wales,84.91
10639,Budderoo,New South Wales,40.50
10640,Buddong,New South Wales,132.85
10641,Budgee Budgee (NSW),New South Wales,30.22
10642,Budgewoi,New South Wales,2.81
10643,Budgewoi Peninsula,New South Wales,3.05
10644,Budgong,New South Wales,42.41
10645,Buff Point,New South Wales,2.09
10646,Bugaldie,New South Wales,368.34
10647,Bukalong,New South Wales,72.23
10648,Bukkulla,New South Wales,274.05
10649,Bulahdelah,New South Wales,172.14
10650,Bulee,New South Wales,56.02
10651,Bulga (NSW),New South Wales,127.34
10652,Bulga Forest,New South Wales,257.13
10653,Bulgary,New South Wales,75.57
10654,Bulla (NSW),New South Wales,2329.52
10655,Bulla Creek,New South Wales,62.81
10656,Bullaburra,New South Wales,6.14
10657,Bullagreen,New South Wales,447.78
10658,Bullarah,New South Wales,1605.01
10659,Bullatale,New South Wales,533.03
10660,Bullawa Creek,New South Wales,161.79
10661,Bulldog,New South Wales,36.70
10662,Bulli,New South Wales,8.66
10663,Bulliac,New South Wales,58.09
10664,Bullio,New South Wales,107.79
10665,Bulyeroi,New South Wales,157.02
10666,Bumbaldry,New South Wales,244.66
10667,Bumbalong,New South Wales,50.23
10668,Bundabah,New South Wales,3.09
10669,Bundagen,New South Wales,23.63
10670,Bundanoon (NSW),New South Wales,58.88
10671,Bundarra,New South Wales,971.41
10672,Bundeena,New South Wales,1.18
10673,Bundella,New South Wales,344.42
10674,Bundemar,New South Wales,455.56
10675,Bundewallah,New South Wales,5.93
10676,Bundook,New South Wales,50.59
10677,Bundure,New South Wales,501.37
10678,Bungaba,New South Wales,121.99
10679,Bungabbee,New South Wales,8.60
10680,Bungalora,New South Wales,3.35
10681,Bungarby,New South Wales,318.65
10682,Bungarribee,New South Wales,2.46
10683,Bungawalbin,New South Wales,68.93
10684,Bungendore,New South Wales,297.44
10685,Bungonia,New South Wales,325.05
10686,Bungowannah,New South Wales,117.49
10687,Bungwahl,New South Wales,61.30
10688,Bunnaloo,New South Wales,329.45
10689,Bunnan,New South Wales,203.64
10690,Bunyah,New South Wales,139.24
