school_id,name,suburb,state,postcode,sector,school_type,lat,lng
43454,St Charles Catholic Primary School,Ryde,NSW,2112,Catholic,Primary,-33.818342,151.114403
43455,St Finbar's Primary School,Sans Souci,NSW,2219,Catholic,Primary,-33.992474,151.129188
43456,Immaculate Heart of Mary Catholic Primary School,Sefton,NSW,2162,Catholic,Primary,-33.886854,151.008551
43457,St Gertrude's Catholic Primary School,Smithfield,NSW,2164,Catholic,Primary,-33.854662,150.93817
43458,St Raphael's Catholic Primary School,South Hurstville,NSW,2221,Catholic,Primary,-33.975224,151.11051
43459,St Michael's Catholic Primary School,Stanmore,NSW,2048,Catholic,Primary,-33.892382,151.16499
43460,St Martha's Catholic Primary School,Strathfield,NSW,2135,Catholic,Primary,-33.873815,151.086979
43461,St Anne's Catholic Primary School,Strathfield South,NSW,2136,Catholic,Primary,-33.892383,151.077934
43462,St Patrick's Catholic Primary School,Summer Hill,NSW,2130,Catholic,Primary,-33.893718,151.133396
43463,St Patrick's Catholic Primary School,Sutherland,NSW,2232,Catholic,Primary,-34.033432,151.062153
43464,St Mary's Cathedral College,Sydney,NSW,2000,Catholic,Combined,-33.871288,151.213998
43465,Sacred Heart Catholic Primary School,Villawood,NSW,2163,Catholic,Primary,-33.889059,150.975512
43466,Our Lady of Mount Carmel Catholic Primary School,Waterloo,NSW,2017,Catholic,Primary,-33.898919,151.204411
43467,St Charles' Primary School,Waverley,NSW,2024,Catholic,Primary,-33.899645,151.253258
43468,St Francis De Sales' Catholic Primary School,Woolooware,NSW,2230,Catholic,Primary,-34.052211,151.142649
43469,Christ the King Catholic School Bass Hill,Yagoona,NSW,2199,Catholic,Primary,-33.906086,151.012986
43470,St Catherine of Siena Catholic Primary School,Prestons,NSW,2170,Catholic,Primary,-33.952631,150.868678
43471,Casimir Catholic College,Marrickville,NSW,2204,Catholic,Secondary,-33.910917,151.149003
43472,De La Salle College - Revesby Heights,Revesby Heights,NSW,2212,Catholic,Secondary,-33.963329,151.015616
43473,Our Lady of The Sacred Heart College,Kensington,NSW,2033,Catholic,Secondary,-33.912662,151.219769
43474,Trinity Catholic College,Auburn,NSW,2144,Catholic,Secondary,-33.850411,151.02985
43475,Bethany College,Hurstville,NSW,2220,Catholic,Secondary,-33.961833,151.113118
43476,St Ursula's College,Kingsgrove,NSW,2208,Catholic,Secondary,-33.941884,151.103281
43477,Marist College Kogarah,Bexley,NSW,2207,Catholic,Secondary,-33.958961,151.130328
43478,Marist College North Shore,North Sydney,NSW,2060,Catholic,Secondary,-33.831529,151.207053
43479,Champagnat Catholic College,Maroubra,NSW,2035,Catholic,Secondary,-33.946605,151.229064
43480,Marist Catholic College Penshurst,Mortdale,NSW,2223,Catholic,Secondary,-33.967666,151.083278
43481,Brigidine College Randwick,Randwick,NSW,2031,Catholic,Secondary,-33.919181,151.243928
43482,Marcellin College,Randwick,NSW,2031,Catholic,Combined,-33.913571,151.240721
43483,La Salle Catholic College,Bankstown,NSW,2200,Catholic,Secondary,-33.90808,151.034897
43484,Freeman Catholic College,Bonnyrigg Heights,NSW,2177,Catholic,Secondary,-33.886767,150.86297
43485,Our Lady of Mercy Catholic College Burraneer,Cronulla,NSW,2230,Catholic,Secondary,-34.05434,151.135366
43486,De La Salle Catholic College - Caringbah,Caringbah,NSW,2229,Catholic,Secondary,-34.045553,151.122261
43487,St John Bosco College,Engadine,NSW,2233,Catholic,Secondary,-34.059276,151.008769
43488,Patrician Brothers' College Fairfield,Fairfield,NSW,2165,Catholic,Secondary,-33.872141,150.963528
43489,Good Samaritan Catholic College,Hinchinbrook,NSW,2168,Catholic,Secondary,-33.926134,150.860114
43491,All Saints Catholic College,Liverpool,NSW,2170,Catholic,Secondary,-33.920036,150.926859
43492,Aquinas Catholic College,Menai,NSW,2234,Catholic,Secondary,-34.01997,151.021315
43493,St Patrick's College - Sutherland,Sutherland,NSW,2232,Catholic,Secondary,-34.033937,151.05902
43494,Mary MacKillop Catholic College,Wakeley,NSW,2176,Catholic,Secondary,-33.866026,150.910826
43495,Bethlehem College,Ashfield,NSW,2131,Catholic,Secondary,-33.885622,151.124963
43496,De La Salle College - Ashfield,Ashfield,NSW,2131,Catholic,Secondary,-33.884703,151.125224
43497,Marist College Eastwood,Eastwood,NSW,2122,Catholic,Secondary,-33.789145,151.07738
43498,Domremy Catholic College,Five Dock,NSW,2046,Catholic,Secondary,-33.869709,151.132909
43499,Holy Spirit Catholic College,Lakemba,NSW,2195,Catholic,Secondary,-33.921743,151.076591
43500,Holy Cross College,Ryde,NSW,2112,Catholic,Secondary,-33.81944335,151.1186771
43501,Marist Sisters' College Woolwich,Woolwich,NSW,2110,Catholic,Secondary,-33.83947,151.165374
43502,Holy Spirit Catholic Primary School,Carnes Hill,NSW,2171,Catholic,Primary,-33.93935019,150.8438721
43503,St Christopher's Catholic Primary School,Holsworthy,NSW,2173,Catholic,Primary,-33.952119,150.951725
43504,Clancy Catholic College,West Hoxton,NSW,2171,Catholic,Secondary,-33.9322,150.836
43505,St Joseph's Primary School,Alstonville,NSW,2477,Catholic,Primary,-28.83873635,153.4368646
43506,St Francis Xavier's Primary School,Ballina,NSW,2478,Catholic,Primary,-28.868353,153.564096
43507,Mary Help of Christians Primary School Sawtell,Toormina,NSW,2452,Catholic,Primary,-30.358164,153.083971
43508,St Mary's Primary School,Bellingen,NSW,2454,Catholic,Primary,-30.45571,152.898143
43509,St Mary's Primary School,Bowraville,NSW,2449,Catholic,Primary,-30.650993,152.850688
43510,St Finbarr's Primary School,Byron Bay,NSW,2481,Catholic,Primary,-28.6656,153.6158
43511,St Mary's Primary School,Casino,NSW,2470,Catholic,Primary,-28.862006,153.044961
43512,St Augustine's Primary School,Coffs Harbour,NSW,2450,Catholic,Primary,-30.30096985,153.1134166
43513,St Joseph's Primary School,Coraki,NSW,2471,Catholic,Primary,-28.989312,153.286072
43514,Mount St John Primary School,Dorrigo,NSW,2453,Catholic,Primary,-30.347208,152.714704
43515,St Mary's Primary School,Grafton,NSW,2460,Catholic,Primary,-29.694692,152.935422
