abs_ssc,name,state,area
"SSC10436",Boeill Creek,New South Wales,21.78
"SSC10437",Bogan,New South Wales,476.51
"SSC10438",Bogan Gate,New South Wales,445.63
"SSC10439",Bogangar,New South Wales,6.74
"SSC10440",Bogee,New South Wales,109.84
"SSC10441",Boggabilla,New South Wales,1342.67
"SSC10442",Boggabri,New South Wales,858.49
"SSC10443",Bogong Peaks Wilderness,New South Wales,255.90
"SSC10444",Bohena Creek,New South Wales,197.29
"SSC10445",Bohnock,New South Wales,1.12
"SSC10446",Bolaro,New South Wales,127.86
"SSC10447",Bolivia,New South Wales,290.06
"SSC10448",Bolong,New South Wales,16.41
"SSC10449",Bolton Point,New South Wales,1.68
"SSC10450",Bolwarra,New South Wales,4.47
"SSC10451",Bolwarra Heights,New South Wales,7.23
"SSC10452",Bom Bom,New South Wales,24.20
"SSC10453",Bomaderry,New South Wales,7.45
"SSC10454",Bombah Point,New South Wales,54.35
"SSC10455",Bombala,New South Wales,119.71
"SSC10456",Bombay,New South Wales,159.65
"SSC10457",Bombira,New South Wales,7.05
"SSC10458",Bombo,New South Wales,1.80
"SSC10459",Bombowlee,New South Wales,27.92
"SSC10460",Bombowlee Creek,New South Wales,21.37
"SSC10461",Bomen,New South Wales,27.37
"SSC10462",Bomera,New South Wales,339.02
"SSC10463",Bonalbo,New South Wales,85.86
"SSC10464",Bondi,New South Wales,0.86
"SSC10465",Bondi Beach,New South Wales,1.22
"SSC10466",Bondi Forest,New South Wales,161.59
"SSC10467",Bondi Junction,New South Wales,1.08
"SSC10468",Bonnells Bay,New South Wales,3.28
"SSC10469",Bonnet Bay,New South Wales,1.13
"SSC10470",Bonny Hills,New South Wales,20.75
"SSC10471",Bonnyrigg,New South Wales,3.04
"SSC10472",Bonnyrigg Heights,New South Wales,2.15
"SSC10473",Bonshaw,New South Wales,431.23
"SSC10474",Bonville,New South Wales,68.89
"SSC10475",Booerie Creek,New South Wales,12.73
"SSC10476",Book Book,New South Wales,158.82
"SSC10477",Booker Bay,New South Wales,0.49
"SSC10478",Bookham,New South Wales,210.29
"SSC10479",Bookookoorara,New South Wales,169.66
"SSC10480",Bookram,New South Wales,66.03
"SSC10481",Boolambayte,New South Wales,89.89
"SSC10482",Boolaroo,New South Wales,2.71
"SSC10483",Boolcarroll,New South Wales,141.65
"SSC10484",Booligal,New South Wales,4519.35
"SSC10485",Boolijah,New South Wales,109.71
"SSC10486",Boomanoomana,New South Wales,246.50
"SSC10487",Boomerang Beach,New South Wales,1.95
"SSC10488",Boomey,New South Wales,92.54
"SSC10489",Boomi,New South Wales,1086.62
"SSC10490",Boomi Creek,New South Wales,80.66
"SSC10491",Boona Mount,New South Wales,394.69
"SSC10492",Boonal,New South Wales,266.30
"SSC10493",Boonoo Boonoo,New South Wales,268.79
"SSC10494",Boorabee Park,New South Wales,42.75
"SSC10495",Booragul,New South Wales,1.24
