school_id,name,suburb,state,postcode,sector,school_type,website,year_range,teaching_staff,non_teaching_staff,total_enrolments,girls_enrolments,boys_enrolments
43042,Trundle Central School,Trundle,NSW,2875,Government,Combined,http://www.trundle-c.schools.nsw.edu.au,K-12,13.6,5.4,113,55,58
43043,Trunkey Public School,Trunkey Creek,NSW,2795,Government,Primary,http://www.trunkey-p.schools.nsw.edu.au,K-6,1.3,0.9,13,6,7
43044,Tullamore Central School,Tullamore,NSW,2874,Government,Combined,http://www.tullamore-c.schools.nsw.edu.au/,K-12,10.6,4,77,36,41
43045,Ulan Public School,Ulan,NSW,2850,Government,Primary,http://www.ulan-p.schools.nsw.edu.au,K-6,1.4,0.7,16,12,4
43046,Walgett Community College - Primary School,Walgett,NSW,2832,Government,Primary,http://www.walgett-p.schools.nsw.edu.au,"U, P-6",11.5,6.1,149,78,71
43047,Wallerawang Public School,Wallerawang,NSW,2845,Government,Primary,http://www.wallerawan-p.schools.nsw.edu.au,K-6,17.3,2.6,299,130,169
43048,Wanaaring Public School,Wanaaring,NSW,2840,Government,Primary,http://www.wanaaring-p.schools.nsw.edu.au,K-6,1.4,0.9,10,7,3
43049,Warren Central School,Warren,NSW,2824,Government,Combined,http://www.warren-c.schools.nsw.edu.au,K-12,21.8,8.1,192,91,101
43050,Wattle Flat Public School,Wattle Flat,NSW,2795,Government,Primary,http://www.wattleflat-p.schools.nsw.edu.au,K-6,2.6,0.9,25,12,13
43051,Wellington Public School,Wellington,NSW,2820,Government,Primary,http://www.wellington-p.schools.nsw.edu.au,"U, P-6",33.1,12,484,218,266
43052,Wentworth Public School,Wentworth,NSW,2648,Government,Primary,http://www.wentworth-p.schools.nsw.edu.au,K-6,9,2.8,145,64,81
43053,White Cliffs Public School,White Cliffs,NSW,2836,Government,Primary,http://www.whitecliff-p.schools.nsw.edu.au,K-6,1.3,1,12,5,7
43054,Wilcannia Central School,Wilcannia,NSW,2836,Government,Combined,http://www.wilcannia-c.schools.nsw.edu.au/sws/view/642303.node,P-12,13.4,6.9,66,39,27
43056,Wollar Public School,Wollar,NSW,2850,Government,Primary,http://www.wollar-p.schools.nsw.edu.au,K-6,1.3,0.9,4,1,3
43057,Wongarbon Public School,Wongarbon,NSW,2831,Government,Primary,http://www.wongarbon-p.schools.nsw.edu.au,K-6,3.8,1.4,60,23,37
43058,Woodstock Public School,Woodstock,NSW,2793,Government,Primary,http://www.woodstock-p.schools.nsw.edu.au,K-6,1.4,0.8,21,9,12
43059,Borenore Public School,Borenore,NSW,2800,Government,Primary,http://www.borenore-p.schools.nsw.edu.au,K-6,2.5,0.9,40,18,22
43060,Wyangala Dam Public School,Wyangala,NSW,2808,Government,Primary,http://www.wyangalada-p.schools.nsw.edu.au,K-6,1.3,0.9,7,3,4
43061,Yeoval Central School,Yeoval,NSW,2868,Government,Combined,http://www.yeoval-c.schools.nsw.edu.au,K-12,14,5.4,120,63,57
43062,Zig Zag Public School,Lithgow,NSW,2790,Government,Primary,http://www.zigzag-p.schools.nsw.edu.au,K-6,5,1.7,97,58,39
